detector/descriptor,img-0 & img-1,img-1 & img-2,img-2 & img-3,img-3 & img-4,img-4 & img-5,img-5 & img-6,img-6 & img-7,img-7 & img-8,img-8 & img-9
SHITOMASI_BRISK, 359.689, 354.643, 353.743, 353.786, 353.927, 354.528, 356.376, 354.41, 353.894
SHITOMASI_BRIEF, 27.6875, 27.4806, 27.0135, 27.2447, 27.8806, 27.6047, 27.7519, 27.6234, 27.4283
SHITOMASI_ORB, 28.518, 28.4658, 28.0914, 28.7234, 28.7667, 28.0873, 28.954, 28.3645, 28.5659
SHITOMASI_FREAK, 66.1798, 61.2007, 61.6919, 61.267, 61.625, 61.0136, 61.4503, 60.9446, 60.8994
SHITOMASI_SIFT, 36.1519, 35.9985, 41.6199, 35.3675, 36.0857, 40.8551, 36.1499, 35.0107, 35.9464
HARRIS_BRISK, 348.038, 345.67, 346.409, 348.799, 364.533, 348.118, 352.995, 350.212, 356.583
HARRIS_BRIEF, 21.0135, 21.9472, 21.246, 22.4763, 36.6042, 20.8644, 23.3276, 22.8378, 27.1548
HARRIS_ORB, 21.4908, 22.004, 21.7933, 22.4637, 36.5004, 21.2271, 23.7728, 23.6942, 27.6393
HARRIS_FREAK, 58.7277, 58.7687, 59.6473, 59.8653, 74.278, 58.7719, 61.1157, 60.8034, 65.1928
HARRIS_SIFT, 35.5438, 35.6968, 41.3258, 36.6808, 50.8513, 34.9546, 37.8981, 35.8554, 41.5302
FAST_BRISK, 340.827, 345.49, 338.24, 338.274, 337.679, 337.125, 346.423, 339.614, 339.388
FAST_BRIEF, 11.1049, 11.4259, 11.3231, 11.2869, 11.2374, 11.46, 11.4758, 11.2736, 11.837
FAST_ORB, 11.5906, 11.603, 11.6127, 11.7157, 11.5825, 11.6898, 11.7096, 16.7613, 13.0591
FAST_FREAK, 58.76, 52.036, 52.0727, 52.1976, 51.5321, 51.6071, 51.3311, 51.698, 51.1103
FAST_SIFT, 26.5059, 26.4653, 26.0157, 33.227, 26.0909, 26.1339, 32.931, 25.4151, 26.0248
BRISK_BRISK, 713.846, 711.437, 710.908, 715.521, 715.218, 714.612, 710.614, 716.421, 711.85
BRISK_BRIEF, 379.903, 381.983, 385.444, 379.441, 380.861, 378.93, 378.712, 377.385, 377.155
BRISK_ORB, 380.025, 381.611, 379.043, 379.733, 380.585, 395.511, 397.764, 382.183, 378.688
BRISK_FREAK, 421.428, 422.754, 430.03, 425.849, 422.314, 421.602, 421.8, 420.304, 416.807
BRISK_SIFT, 395.366, 394.86, 392.789, 392.715, 403.624, 397.388, 403.961, 393.776, 403.317
ORB_BRISK, 345.063, 345.353, 349.096, 355.852, 350.071, 344.528, 348.629, 344.522, 343.518
ORB_BRIEF, 16.4726, 16.896, 16.8558, 16.5484, 17.2238, 16.742, 17.1553, 17.0751, 17.2844
ORB_ORB, 17.085, 17.173, 17.2667, 17.4635, 17.3353, 17.4895, 17.5009, 17.5102, 17.5799
ORB_FREAK, 55.544, 55.6035, 56.2035, 55.9814, 56.1886, 56.0257, 56.6295, 56.2854, 56.238
ORB_SIFT, 30.9994, 31.1923, 30.4824, 30.4961, 30.2138, 31.1774, 30.5234, 30.9732, 30.7102
AKAZE_BRISK, 440.18, 439.305, 447.764, 450.584, 456.891, 450.886, 446.438, 445.239, 444.912
AKAZE_BRIEF, 115.07, 117.413, 119.45, 121.737, 114.025, 120.026, 119.548, 120.502, 118.235
AKAZE_ORB, 119.373, 115.948, 123.773, 123.453, 114.835, 122.448, 123.373, 123.386, 114.825
AKAZE_FREAK, 154.608, 153.837, 163.225, 160.081, 154.771, 161.777, 162.83, 163.257, 161.797
AKAZE_SIFT, 136.98, 136.101, 136.082, 125.335, 136.197, 132.963, 123.573, 125.777, 124.574
SIFT_BRISK, 481.347, 509.585, 472.902, 506.585, 506.999, 505.102, 474.079, 511.068, 484.151
SIFT_BRIEF, 182.72, 175.074, 176.746, 179.194, 178.531, 178.805, 177.133, 178.193, 181.149
SIFT_ORB, 181.912, 175.347, 177.486, 175.98, 177.719, 178.589, 180.071, 179.77, 181.172
SIFT_FREAK, 217.243, 218.081, 214.888, 216.546, 217.113, 212.608, 228.679, 216.872, 217.672
SIFT_SIFT, 190.17, 189.598, 190.55, 189.897, 193.355, 197.095, 190.946, 192.004, 192.557
